	code	latitude	longitude	elevation	location	datetime
302	MIPI	-4.5301	136.8935	30.0	Station Type A, Mimika Baru,Mimika,Papua	2019-01-01T00:00:00
303	MISSI	5.552612	126.58147	11.0	Miangas, Kepulauan Talaud, Sulawesi Utara	2023-08-22T07:45:29.525
304	MJSI	-3.5008	118.9149	306.8	Station Majene, Sulawesi	2007-01-01T00:00:00
305	MKBI	-2.4474	101.2396	48.21	Station Muko-Muko, Bengkulu, Indonesia (BMKG)	2009-01-01T00:00:00
306	MKJM	-7.6629	110.4834	410.0	Type MR, Manisrenggo,Klaten,Jawa Tengah	2019-01-01T00:00:00
307	MKS	-5.2178	119.4696	80.32	Station Gowa, Sulawesi, Indonesia (BMKG)	2015-01-01T00:00:00
308	MKSM	-4.5288	103.36	300.0	Type MR, Muara Sahung,Kaur,Bengkulu	2019-01-01T00:00:00
309	MLJI	-8.157473	112.446699	275.0	Malang Jawa Indonesia	2018-10-30T00:00:00
310	MLJM	-7.2483	112.3379	55.0	Type MR, Mantup,Lamongan,Jawa Timur	2019-01-01T00:00:00
311	MLMMI	-8.148	127.792	8.0	Moa Lakor, Maluku Barat Daya, Maluku	2023-08-21T07:45:29.525
312	MLSI	4.2668	96.404	96.94	Station Meulaboh, Aceh, Indonesia (BMKG)	2009-01-01T00:00:00
313	MMCI	-2.95597	119.3631	1167.0	Station Type A, Mamasa,Mamasa,Sulawesi Barat	2019-01-01T00:00:00
314	MMPI	-8.5181	140.4141	98.57	Station Merauke, Indonesia	2006-01-01T00:00:00
315	MMRI	-8.6357	122.2376	137.0	GEOFON Station Maumere, Flores, Indonesia	2006-11-09T00:00:00
316	MMSI	-2.6892	118.909	221.3	Station Mamuju China	2006-12-01T00:00:00
317	MNAI	-4.3605	102.9557	154.0	GEOFON Station Manna, Sumatra, Indonesia	2006-07-27T00:00:00
318	MNI	1.44397	124.83998	191.0	Station Manado, Sulawesi	2005-01-01T00:00:00
319	MNSI	0.7955	99.5796	294.4	Station Mandailing Natal, Sumatra	2008-01-01T00:00:00
320	MPSI	0.3374	119.898	174.0	Station Mapaga, Sulawesi	2008-01-01T00:00:00
321	MPSM	0.5891	100.1383	195.0	Type MR, Mapat Tunggul,Pasaman,Sumatera Barat	2019-01-01T00:00:00
322	MRSI	0.4771	121.9406	99.0	Station Marisa, Sulawesi	2008-01-01T00:00:00
323	MSAI	-3.346145	128.928482	8.5	Station Amahai, Masohi, Maluku	2007-01-01T00:00:00
324	MSCM	-2.5358	120.2813	108.0	Type MR, Masamba,Luwu Utara,Sulawesi Selatan	2019-01-01T00:00:00
325	MSHHI	0.629	128.425	29.0	Maba Selatan, Halmahera Timur, Maluku Utara	2022-09-22T07:45:29.525
326	MSSI	-2.5547	120.3241	116.0	Station Masamba, Sulawesi	2007-01-01T00:00:00
327	MTAI	2.19802	128.27585	24.0	Station Morotai, North Maluku, Indonesia	2018-09-14T00:00:00
328	MTCM	-2.573883	121.054464	21.0	Type MR, Malili,Luwu Timur,Sulawesi Selatan	2019-01-01T00:00:00
329	MTJPI	-2.627	140.864	6.0	Muara Tami, Jayapura, Papua	2022-09-22T07:45:29.525
330	MTKI	-0.9418	114.8959	100.11	Station Muara Teweh, Kalimantan, Indonesia (BMKG)	2008-06-21T00:00:00
331	MTMPI	-2.305	138.037	67.0	Mamberamo Tengah, Mamberamo Raya, Papua	2022-09-22T07:45:29.525
332	MTMTI	-9.58	124.88	25.0	Malaka Tengah, Malaka, Nusa Tenggara Timur	2022-09-22T07:45:29.525
333	MTNI	-8.636	116.1707	108.3	Station Mataram, Plombok	2007-01-01T00:00:00
334	MTSI	2.1524	98.2524	8.0	Station Type A, Manduamas,Tapanuli Tengah,Sumatera Utara	2019-01-01T00:00:00
335	MTSM	-4.4793	103.5062	803.0	Type MR, Muara Dua,Oku Selatan,Sumatera Selatan	2019-01-01T00:00:00
336	MUMUI	-1.785	125.481	11.0	Mangoli Utara, Kepulauan Sula, Maluku Utara	2023-08-19T07:45:29.525
337	MUNJI	-8.43793	114.34801		Tide Gauge network	2016-07-01T00:00:00
338	MUTSI	2.3	98.965	1571.0	Muara, Tapanuli Utara, Sumatera Utara	2022-09-22T07:45:29.525
339	MWPI	-0.9258	134.0431	30.0	Station Manokwari China	2009-07-01T00:00:00
340	NANFI	-8.761	121.302	644.0	Nangaroro, Nagekeo, Nusa Tenggara Timur	2022-09-22T07:45:29.525
341	NBBI	-8.4597	114.942	300.74	Station Negara, Indonesia	2006-01-01T00:00:00
342	NBJR	-8.17513	112.33462	189.0	REIS Desa Ngembul	2018-07-02T00:00:00
343	NBMI	-3.8509	126.6995	59.0	Station Type A, Namrole,Buru Selatan,Maluku	2019-01-01T00:00:00
344	NBPI	-3.3656	135.4972	98.81	Station NBPI (ex-JAY1)	2012-10-26T00:00:00
345	NGJI	-7.3676	111.4612	149.0	Station Ngawi, Java	2008-01-01T00:00:00
346	NJBM	-8.30984	114.617125	199.0	Station Type MR, Negara, Bali	2020-01-01T00:00:00
347	NKBI	-8.726115	115.5259633	452.0	Station Type B Nusa Penida,Klungkung,Bali	2019-01-01T00:00:00
348	NKKI	-1.5605	110.5671	69.0	Station Type A, Nangan Tayap, Ketapang, Kalimantan Barat	2019-01-01T00:00:00
349	NLAI	-3.239	127.0998	101.92	Station Namlea, Ambon	2008-01-01T00:00:00
350	NSBMM	-3.0828917	128.2096033	86.0	Station Type MR, Seram Barat, Maluku	2020-10-01T00:00:00
351	OBMI	-1.3413	127.6444	110.89	Station Pulau, BMG, Indonesia	2012-01-01T00:00:00
352	OBMPI	-6.555	139.3	21.0	Obaa, Mappi, Papua	2023-08-25T15:38:29.525
353	OMBFM	-8.6911917	119.8248167	102.0	Station Type MR, Komodo, Manggarai Barat, NTT	2020-10-01T00:00:00
354	ONSM	2.1599	98.6301	1158.0	Type MR, Onan Ganjang,Humbang Hasundutan,Sumatera Utara	2019-01-01T00:00:00
355	OSSN	-3.018655	120.17921	105.0	Noncollocated_DS(Seismotek)  Palopo	2020-11-26T00:00:00
356	PAASI	5.671	95.129	9.0	Pulo Aceh, Aceh Besar, Aceh	2022-09-22T07:45:29.525
357	PABI	0.1236	99.8719	155.0	Station Type A, Pasaman,Pasaman Barat,Sumatera Barat	2019-01-01T00:00:00
358	PABKI	-3.112172	115.36422	110.1	Paramasan, Kalimantan Selatan	2023-12-24T11:45:00
359	PACJI	-8.26695	111.37356		Tide Gauge network	2016-07-01T00:00:00
360	PAFM	-8.3832	124.128	77.0	Station Type MR, Pantar Tengah, Alor, NTT	2020-10-01T00:00:00
361	PAGA	-0.25	100.382	0.0	STA GAW BUKIT TINGGI	2007-01-01T00:00:00
362	PAKI	-1.84	116.18	0.0	Paser,  Kalimantan  Timur,  Indonesia	2021-11-26T00:00:00
363	PANJI	-7.6865	108.67377		Tide Gauge network	2016-07-01T00:00:00
364	PAPA	-0.466	100.379	726.0	STA GEOF PADANG PANJANG	2007-01-01T00:00:00
365	PASC	-0.545	100.29	130.0	STA KLIM SICINCIN PADANG	2007-01-01T00:00:00
366	PASJI	-6.212	105.9835	248.0	Padarincang, Serang, Banten	2022-09-22T07:45:29.525
367	PASMI	-2.9646	100.2028	39.0	Pagai Selatan, Kepulauan Mentawai, Sumatera Barat	2023-08-06T07:45:29.525
368	PATU	-0.997	100.371	0.0	STA MAR TELUK BAYUR PDG	2007-01-01T00:00:00
369	PBCI	0.38301	124.0396	33.0	Station Type A, Poigar,Bolaang Mongondow,Sulawesi Utara	2019-01-01T00:00:00
370	PBJI	-7.0874	107.4757	1090.0	Station Type B, Pasir Jambu	2019-01-01T00:00:00
371	PBJR	-7.95583	110.34333	44.0	REIS Pundong	2018-07-02T00:00:00
372	PBKI	-2.7047	111.6697	74.44	Station Pangkalan Bun, Kalimantan	2007-01-01T00:00:00
373	PBLI	-8.8218	116.2778	106.0	Station Type A, Pujut,Lombok Tengah ,Nusa Tenggara Barat	2019-01-01T00:00:00
374	PBMMI	-7.86	129.597	7.0	Pulau-Pulau Babar, Maluku Barat Daya, Maluku	2023-08-26T21:45:29.525
375	PBMSI	0.995298	124.282277	88.0	Station Type A, Poigar, Bolaang Mongondow, Sulawesi Utara	2022-09-22T07:45:29.525
376	PBNI	-8.79	118.57	0.0	Parado,  Bima,  Nusa  Tenggara  Barat,  Indonesia	2021-11-26T00:00:00
